RECENCE	MT	NB	no_cumulative	no_cumulative2
1	8680.6	1	1	799
2	170111.95	27	28	799
3	29054.3	2	30	799
4	269412.3	54	84	799
6	14659.25	5	89	799
7	8906.9	2	91	799
9	473438.05	135	226	799
10	668214.4	335	561	799
11	48875.5	64	625	799
12	6319.5	20	645	799
13	15180.15	26	671	799
14	8194.0	25	696	799
15	31002.65	27	723	799
16	4916.7	20	743	799
17	6454.25	8	751	799
18	2494.0	4	755	799
19	930.5	11	766	799
20	2162.4	15	781	799
21	319.0	9	790	799
22	319.7	9	799	799
